Geneid	gene_symbol	Chr	Start	End	Strand	Length	logFC	P.Value	FDR
ENSG00000105889.16	STEAP1B	chr7	22571664	22572760	-	1097	0.6462315296	2.97E-09	8.94E-06
ENSG00000160710.18	ADAR	chr1	154598573	154598585	-	13	0.6547427357	3.03E-13	2.89E-09
ENSG00000160710.18	ADAR	chr1	154598402	154598572	-	171	0.6213143613	3.29E-13	3.05E-09
ENSG00000049656.14	CLPTM1L	chr5	1344888	1345099	-	212	1.20883276	2.14E-14	2.70E-10
ENSG00000082146.13	STRADB	chr2	201451740	201451795	+	56	1.87263066	1.83E-13	1.84E-09
ENSG00000133816.19	MICAL2	chr11	12110605	12110607	+	3	1.530810833	2.62E-15	3.55E-11
ENSG00000162434.14	JAK1	chr1	64966371	64966547	-	177	0.9340102114	6.19E-12	4.28E-08
ENSG00000167193.8	CRK	chr17	1456150	1456223	-	74	1.221714079	5.03E-11	2.95E-07
ENSG00000179428.2	IL6-AS1	chr7	22725395	22726705	-	1311	0.9767698004	3.02E-08	5.55E-05
ENSG00000112655.16	PTK7	chr6	43076342	43076368	+	27	1.942307725	1.28E-13	1.37E-09
ENSG00000145860.12	RNF145	chr5	159209543	159209553	-	11	1.989600933	8.29E-13	7.31E-09
ENSG00000149782.13	PLCB3	chr11	64251547	64251574	+	28	1.310307444	5.80E-13	5.24E-09
ENSG00000182287.15	AP1S2	chrX	15854756	15854789	-	34	2.020785478	5.47E-12	3.85E-08
ENSG00000144749.14	LRIG1	chr3	66500190	66501011	-	822	0.6970448422	1.48E-10	7.55E-07
ENSG00000107164.17	FUBP3	chr9	130579581	130579619	+	39	2.163480148	2.79E-12	2.14E-08
ENSG00000108021.22	TASOR2	chr10	5684861	5684941	+	81	1.440579219	9.58E-13	8.24E-09
ENSG00000160710.18	ADAR	chr1	154582077	154582095	-	19	-1.228306745	6.50E-12	4.41E-08
ENSG00000133816.19	MICAL2	chr11	12110591	12110604	+	14	1.52779311	2.09E-13	2.05E-09
ENSG00000160710.18	ADAR	chr1	154597828	154597976	-	149	0.5799038531	8.53E-12	5.57E-08
ENSG00000132361.18	CLUH	chr17	2711634	2711717	-	84	1.064074372	1.32E-12	1.11E-08
ENSG00000108021.22	TASOR2	chr10	5684948	5684964	+	17	1.435191045	2.19E-12	1.76E-08
ENSG00000160710.18	ADAR	chr1	154597265	154597267	-	3	0.5991751251	2.38E-11	1.47E-07
ENSG00000108021.22	TASOR2	chr10	5684942	5684947	+	6	1.437086051	4.44E-12	3.20E-08
ENSG00000291237.1	SOD2	chr6	159761037	159762529	-	1493	0.4718921322	2.23E-10	1.02E-06
ENSG00000140859.16	KIFC3	chr16	57802450	57802470	-	21	1.5141435	2.14E-12	1.75E-08
ENSG00000130726.12	TRIM28	chr19	58544562	58544937	+	376	0.6881964146	7.34E-12	4.89E-08
ENSG00000160710.18	ADAR	chr1	154601041	154601888	-	848	0.5335000669	7.21E-11	4.10E-07
ENSG00000133812.18	SBF2	chr11	10294129	10294193	-	65	1.783757531	2.78E-12	2.14E-08
ENSG00000101190.13	TCFL5	chr20	62861024	62861763	-	740	0.6089905765	5.40E-08	9.23E-05
ENSG00000197771.13	MCMBP	chr10	119872755	119872843	-	89	1.250037519	7.89E-11	4.42E-07
ENSG00000134452.20	FBH1	chr10	5890280	5890346	+	67	0.8952750811	1.42E-11	8.94E-08
ENSG00000162434.14	JAK1	chr1	64966333	64966370	-	38	0.7860755299	1.84E-09	5.95E-06
ENSG00000106263.19	EIF3B	chr7	2354882	2355116	+	235	1.107879067	4.16E-11	2.49E-07
ENSG00000110697.13	PITPNM1	chr11	67505315	67505339	-	25	1.385252136	2.84E-11	1.72E-07
ENSG00000103266.11	STUB1	chr16	680424	680429	+	6	1.924608525	8.43E-11	4.64E-07
ENSG00000160710.18	ADAR	chr1	154597123	154597264	-	142	0.5404423612	1.72E-10	8.53E-07
ENSG00000107262.26	BAG1	chr9	33264671	33264705	-	35	2.12371233	1.69E-10	8.51E-07
ENSG00000135046.14	ANXA1	chr9	73154198	73154340	+	143	0.6036092387	9.31E-09	2.30E-05
ENSG00000165516.11	KLHDC2	chr14	49768130	49768152	+	23	2.183627708	1.81E-10	8.77E-07
ENSG00000134452.20	FBH1	chr10	5890243	5890247	+	5	3.790996217	5.43E-11	3.14E-07
ENSG00000135480.17	KRT7	chr12	52233276	52233440	+	165	0.6388987372	9.12E-11	4.95E-07
ENSG00000167552.15	TUBA1A	chr12	49188900	49188976	-	77	1.809761618	4.88E-10	1.91E-06
ENSG00000118900.15	UBN1	chr16	4847481	4848210	+	730	0.6500629504	3.06E-10	1.31E-06
ENSG00000136244.12	IL6	chr7	22727635	22728692	+	1058	0.5009318177	4.19E-10	1.72E-06
ENSG00000165516.11	KLHDC2	chr14	49768153	49768153	+	1	2.117957842	2.68E-10	1.18E-06
ENSG00000108100.18	CCNY	chr10	35336509	35336873	+	365	1.093100268	1.02E-09	3.66E-06
ENSG00000144645.16	OSBPL10	chr3	31980947	31981262	-	316	0.7728764902	1.82E-10	8.77E-07
ENSG00000103266.11	STUB1	chr16	680430	680438	+	9	1.611823782	2.40E-10	1.09E-06
ENSG00000076604.16	TRAF4	chr17	28744030	28744035	+	6	2.112229266	1.42E-10	7.39E-07
ENSG00000136244.12	IL6	chr7	22729816	22731202	+	1387	0.5186635924	7.20E-10	2.70E-06
ENSG00000170421.13	KRT8	chr12	52901220	52901863	-	644	0.8177613592	2.17E-09	6.72E-06
ENSG00000104964.15	TLE5	chr19	3062278	3062410	-	133	2.261639519	2.91E-08	5.38E-05
ENSG00000053747.17	LAMA3	chr18	23689598	23689683	+	86	1.326533994	3.09E-10	1.31E-06
ENSG00000160710.18	ADAR	chr1	154596939	154596995	-	57	0.5335784893	4.82E-10	1.91E-06
ENSG00000008130.15	NADK	chr1	1778420	1778420	-	1	1.821685668	1.97E-10	9.28E-07
ENSG00000136813.15	ECPAS	chr9	111484354	111484357	-	4	0.8782581615	1.15E-10	6.05E-07
ENSG00000130640.15	TUBGCP2	chr10	133308879	133308977	-	99	0.7016305776	9.55E-11	5.10E-07
ENSG00000172301.11	COPRS	chr17	31859214	31859244	-	31	2.47465792	4.00E-08	7.10E-05
ENSG00000011566.15	MAP4K3	chr2	39437148	39437228	-	81	1.418576667	4.07E-10	1.69E-06
ENSG00000104341.17	LAPTM4B	chr8	97775788	97775848	+	61	0.7907682643	1.13E-08	2.61E-05
ENSG00000076604.16	TRAF4	chr17	28744036	28744039	+	4	1.918561999	4.02E-10	1.69E-06
ENSG00000009335.18	UBE3C	chr7	157139171	157139194	+	24	1.397957217	4.71E-10	1.89E-06
ENSG00000136813.15	ECPAS	chr9	111484116	111484261	-	146	0.6260999673	2.18E-10	1.01E-06
ENSG00000125505.17	MBOAT7	chr19	54189444	54189549	-	106	0.7892981504	7.04E-10	2.67E-06
ENSG00000123684.13	LPGAT1	chr1	211830723	211830763	-	41	2.085993062	4.07E-09	1.15E-05
ENSG00000145901.16	TNIP1	chr5	151080880	151081015	-	136	0.5712791998	2.76E-10	1.20E-06
ENSG00000149091.15	DGKZ	chr11	46347523	46347587	+	65	2.363828281	1.14E-09	4.03E-06
ENSG00000140859.16	KIFC3	chr16	57802370	57802449	-	80	0.7877166663	1.92E-10	9.15E-07
ENSG00000047644.20	WWC3	chrX	10015254	10015674	+	421	1.748501605	2.47E-08	4.71E-05
ENSG00000159128.16	IFNGR2	chr21	33403441	33403465	+	25	1.813601658	3.51E-09	1.02E-05
ENSG00000008130.15	NADK	chr1	1778421	1778470	-	50	1.858311365	5.32E-10	2.04E-06
ENSG00000101096.20	NFATC2	chr20	51562630	51562831	-	202	1.340377534	5.81E-09	1.54E-05
ENSG00000179526.17	SHARPIN	chr8	144103757	144103773	-	17	1.347239847	1.25E-09	4.29E-06
ENSG00000089234.16	BRAP	chr12	111685721	111685956	-	236	0.7707434063	5.19E-09	1.41E-05
ENSG00000160710.18	ADAR	chr1	154584365	154585043	-	679	-0.5001931624	1.87E-09	5.99E-06
ENSG00000110917.8	MLEC	chr12	120687149	120687244	+	96	0.5975367948	7.31E-09	1.84E-05
ENSG00000106635.8	BCL7B	chr7	73557655	73557671	-	17	1.863198808	2.08E-09	6.54E-06
ENSG00000057019.16	DCBLD2	chr3	98901327	98901695	-	369	0.5713106296	1.32E-09	4.48E-06
ENSG00000079805.19	DNM2	chr19	10718093	10718207	+	115	0.6732591561	4.66E-10	1.89E-06
ENSG00000067225.21	PKM	chr15	72231324	72231386	-	63	0.5597107352	5.07E-10	1.96E-06
ENSG00000108854.16	SMURF2	chr17	64661913	64661928	-	16	1.193970348	1.71E-09	5.58E-06
ENSG00000073417.15	PDE8A	chr15	84981981	84982225	+	245	1.041890828	1.21E-09	4.24E-06
ENSG00000111786.10	SRSF9	chr12	120469640	120469718	-	79	1.190369404	3.68E-09	1.06E-05
ENSG00000160710.18	ADAR	chr1	154596805	154596938	-	134	0.4965182028	3.29E-09	9.75E-06
ENSG00000133275.16	CSNK1G2	chr19	1941172	1941418	+	247	0.7455642318	1.42E-07	0.0002074040007
ENSG00000105983.23	LMBR1	chr7	156893158	156893159	-	2	1.594860452	5.85E-09	1.54E-05
ENSG00000135046.14	ANXA1	chr9	73157654	73158521	+	868	0.4513926063	1.23E-07	0.0001854292131
ENSG00000187498.16	COL4A1	chr13	110307132	110307157	-	26	0.935411673	1.36E-07	0.0002033859351
ENSG00000170421.13	KRT8	chr12	52900684	52901158	-	475	0.700955367	1.51E-08	3.14E-05
ENSG00000145901.16	TNIP1	chr5	151087085	151087158	-	74	-0.5399001637	7.68E-10	2.85E-06
ENSG00000127511.10	SIN3B	chr19	16829407	16829540	+	134	0.7376886423	9.58E-09	2.33E-05
ENSG00000268173.3	ENSG00000268173	chr19	18155457	18156201	+	745	0.5909002971	4.16E-09	1.16E-05
ENSG00000106665.16	CLIP2	chr7	74289407	74289474	+	68	1.927606097	1.48E-08	3.13E-05
ENSG00000103365.15	GGA2	chr16	23510449	23510464	-	16	1.328313986	9.82E-10	3.57E-06
ENSG00000136240.10	KDELR2	chr7	6484150	6484152	-	3	1.635332006	1.85E-08	3.72E-05
ENSG00000136240.10	KDELR2	chr7	6484144	6484149	-	6	1.622773543	1.87E-08	3.72E-05
ENSG00000134318.16	ROCK2	chr2	11344142	11344636	-	495	0.6677612387	1.25E-09	4.29E-06
ENSG00000172354.10	GNB2	chr7	100673823	100673877	+	55	1.121677902	2.37E-09	7.22E-06
ENSG00000138448.13	ITGAV	chr2	186590187	186590329	+	143	0.6068244319	9.47E-10	3.48E-06
ENSG00000185344.15	ATP6V0A2	chr12	123712356	123712446	+	91	1.384349031	1.14E-08	2.61E-05
ENSG00000158406.6	H4C8	chr6	26281055	26281587	-	533	-0.5637715671	1.73E-07	0.000247398325
ENSG00000077097.17	TOP2B	chr3	25664341	25664499	-	159	0.8530079959	1.08E-09	3.86E-06
ENSG00000103365.15	GGA2	chr16	23510425	23510448	-	24	1.198988481	1.58E-09	5.29E-06
ENSG00000173950.16	XXYLT1	chr3	195270862	195271159	-	298	0.8455212524	1.06E-08	2.52E-05
ENSG00000167193.8	CRK	chr17	1456224	1456232	-	9	1.757090995	5.44E-08	9.23E-05
ENSG00000117419.16	ERI3	chr1	44355062	44355238	-	177	0.9944131491	1.07E-08	2.52E-05
ENSG00000102225.17	CDK16	chrX	47218718	47218775	+	58	0.7975657572	1.62E-09	5.38E-06
ENSG00000138448.13	ITGAV	chr2	186590080	186590186	+	107	0.6291650539	1.66E-09	5.48E-06
ENSG00000005007.14	UPF1	chr19	18831976	18832000	+	25	0.9539162387	2.10E-09	6.54E-06
ENSG00000185344.15	ATP6V0A2	chr12	123712447	123712534	+	88	1.03526556	1.86E-08	3.72E-05
ENSG00000136813.15	ECPAS	chr9	111484358	111484383	-	26	0.8585233528	2.00E-09	6.34E-06
ENSG00000160710.18	ADAR	chr1	154590342	154590409	-	68	0.4854372607	1.02E-08	2.44E-05
ENSG00000160072.20	ATAD3B	chr1	1471784	1472089	+	306	0.688473602	9.09E-09	2.26E-05
ENSG00000160710.18	ADAR	chr1	154627913	154627922	-	10	-1.365098745	1.07E-08	2.52E-05
ENSG00000134452.20	FBH1	chr10	5890203	5890242	+	40	3.52206526	4.35E-09	1.19E-05
ENSG00000176783.15	RUFY1	chr5	179550836	179550837	+	2	1.245437244	3.76E-09	1.08E-05
ENSG00000108604.18	SMARCD2	chr17	63842561	63842562	-	2	1.5855851	2.37E-09	7.22E-06
ENSG00000110080.20	ST3GAL4	chr11	126355688	126355720	+	33	1.281967453	4.02E-09	1.14E-05
ENSG00000091409.16	ITGA6	chr2	172427668	172427788	+	121	0.5913132951	4.21E-09	1.16E-05
ENSG00000100239.16	PPP6R2	chr22	50343331	50343550	+	220	0.8053849228	5.67E-08	9.57E-05
ENSG00000196141.14	SPATS2L	chr2	200306727	200306871	+	145	0.7399571238	4.03E-08	7.11E-05
ENSG00000128641.19	MYO1B	chr2	191245404	191245527	+	124	0.8647564496	4.18E-09	1.16E-05
ENSG00000136244.12	IL6	chr7	22727282	22727443	+	162	0.5455625175	1.46E-08	3.11E-05
ENSG00000166900.17	STX3	chr11	59755398	59755451	+	54	1.38555157	1.35E-08	2.92E-05
ENSG00000124570.21	SERPINB6	chr6	2971239	2971247	-	9	1.406813469	3.24E-09	9.68E-06
ENSG00000166900.17	STX3	chr11	59755452	59755458	+	7	1.373813864	1.50E-08	3.14E-05
ENSG00000124570.21	SERPINB6	chr6	2971207	2971238	-	32	1.246585736	3.42E-09	1.01E-05
ENSG00000101596.17	SMCHD1	chr18	2655726	2655918	+	193	0.8466257258	5.50E-09	1.48E-05
ENSG00000161904.12	LEMD2	chr6	33788775	33788830	-	56	0.8096502054	7.19E-09	1.84E-05
ENSG00000076604.16	TRAF4	chr17	28744023	28744029	+	7	2.286104628	7.06E-09	1.82E-05
ENSG00000111640.15	GAPDH	chr12	6534992	6535141	+	150	0.7210721191	9.41E-09	2.30E-05
ENSG00000263001.8	GTF2I	chr7	74657758	74658030	+	273	0.6013474261	6.89E-09	1.79E-05
ENSG00000198825.15	INPP5F	chr10	119726139	119726161	+	23	1.746758308	6.84E-09	1.79E-05
ENSG00000100997.20	ABHD12	chr20	25390754	25390835	-	82	1.351404392	8.12E-09	2.03E-05
ENSG00000187498.16	COL4A1	chr13	110306944	110307131	-	188	0.5065164369	6.65E-07	0.0007148231486
ENSG00000160710.18	ADAR	chr1	154586942	154587767	-	826	-1.484081956	1.67E-08	3.44E-05
ENSG00000141759.15	TXNL4A	chr18	79988537	79988537	-	1	1.75676871	3.25E-08	5.90E-05
ENSG00000112062.12	MAPK14	chr6	36027808	36027884	+	77	0.5500787292	1.70E-08	3.48E-05
ENSG00000119335.18	SET	chr9	128689222	128689537	+	316	0.4690276389	1.15E-08	2.61E-05
ENSG00000198755.11	RPL10A	chr6	35468440	35468798	+	359	0.4402408399	6.86E-08	0.0001130665821
ENSG00000134871.19	COL4A2	chr13	110307284	110307356	+	73	0.7315607753	5.65E-09	1.51E-05
ENSG00000065923.10	SLC9A7	chrX	46759056	46759118	-	63	0.964394274	9.73E-07	0.0009527878735
ENSG00000172354.10	GNB2	chr7	100673878	100673923	+	46	0.9660122428	1.51E-08	3.14E-05
ENSG00000156804.7	FBXO32	chr8	123541190	123541190	-	1	0.9966704961	2.25E-05	0.01158592393
ENSG00000160710.18	ADAR	chr1	154590262	154590341	-	80	0.4703200605	2.29E-08	4.45E-05
ENSG00000274523.5	RCC1L	chr7	75073414	75073790	-	377	0.518246436	3.85E-08	6.86E-05
ENSG00000166582.11	CENPV	chr17	16353225	16353445	-	221	1.103410383	9.28E-08	0.0001467271127
ENSG00000105220.17	GPI	chr19	34400336	34402413	+	2078	0.3415768385	3.28E-06	0.00245285658
ENSG00000087460.29	GNAS	chr20	58891364	58891420	+	57	0.9743053735	7.31E-09	1.84E-05
ENSG00000170471.15	RALGAPB	chr20	38472900	38472927	+	28	1.09497408	1.18E-08	2.64E-05
ENSG00000204410.16	MSH5	chr6	31739677	31739771	+	95	-1.802307758	1.01E-08	2.44E-05
ENSG00000157168.21	NRG1	chr8	32548590	32548618	+	29	0.9325139177	1.15E-08	2.61E-05
ENSG00000170471.15	RALGAPB	chr20	38472928	38473069	+	142	0.8357919377	1.26E-08	2.77E-05
ENSG00000009335.18	UBE3C	chr7	157138926	157139170	+	245	0.6804112813	1.71E-08	3.48E-05
ENSG00000089006.17	SNX5	chr20	17968459	17968511	-	53	0.7804706529	8.16E-08	0.0001313976416
ENSG00000092098.18	RNF31	chr14	24147592	24147649	+	58	1.011775426	1.18E-08	2.64E-05
ENSG00000144802.11	NFKBIZ	chr3	101849526	101849917	+	392	0.7804181275	2.61E-08	4.88E-05
ENSG00000100911.16	PSME2	chr14	24147523	24147570	-	48	1.270080773	1.19E-08	2.64E-05
ENSG00000092841.19	MYL6	chr12	56160149	56160242	+	94	0.7977821671	1.43E-08	3.06E-05
ENSG00000136560.14	TANK	chr2	161136966	161137063	+	98	-0.6648452139	1.37E-07	0.0002033859351
ENSG00000170275.15	CRTAP	chr3	33114014	33114053	+	40	1.394039546	2.34E-07	0.0003200968763
ENSG00000071994.11	PDCD2	chr6	170584492	170584581	-	90	1.347788594	3.26E-08	5.90E-05
ENSG00000089157.16	RPLP0	chr12	120200719	120200729	-	11	0.6021273618	1.19E-08	2.64E-05
ENSG00000185215.11	TNFAIP2	chr14	103127005	103127402	+	398	0.4735456399	2.17E-08	4.29E-05
ENSG00000185246.18	PRPF39	chr14	45115597	45115601	+	5	2.363678116	9.94E-07	0.0009675892342
ENSG00000100099.22	HPS4	chr22	26483857	26483931	-	75	1.101573007	1.25E-08	2.74E-05
ENSG00000160710.18	ADAR	chr1	154585345	154585752	-	408	-1.22490145	4.53E-08	7.91E-05
ENSG00000136240.10	KDELR2	chr7	6484153	6484190	-	38	1.543458468	1.40E-07	0.0002062798562
ENSG00000197930.13	ERO1A	chr14	52695559	52695705	-	147	0.7852454347	2.61E-08	4.88E-05
ENSG00000178922.18	HYI	chr1	43453717	43453808	-	92	0.827795647	2.66E-08	4.93E-05
ENSG00000244255.5	ENSG00000244255	chr6	31933610	31933783	+	174	0.7910167822	3.37E-08	6.07E-05
ENSG00000184216.15	IRAK1	chrX	154019813	154019876	-	64	0.9389361353	2.30E-08	4.45E-05
ENSG00000133812.18	SBF2	chr11	10294083	10294128	-	46	1.259316149	1.13E-08	2.61E-05
ENSG00000165458.15	INPPL1	chr11	72225038	72225051	+	14	0.8585886201	1.76E-08	3.57E-05
ENSG00000268173.3	ENSG00000268173	chr19	18153158	18153294	+	137	1.075844147	6.19E-08	0.0001029539103
ENSG00000126777.18	KTN1	chr14	55580254	55580314	+	61	0.5148749419	1.34E-08	2.92E-05
ENSG00000166233.15	ARIH1	chr15	72474330	72474489	+	160	0.8381713751	4.21E-08	7.38E-05
ENSG00000187555.17	USP7	chr16	8963423	8963906	-	484	1.044564228	3.17E-05	0.01517965983
ENSG00000077782.23	FGFR1	chr8	38468166	38468308	-	143	0.7366420489	1.40E-08	3.01E-05
ENSG00000126214.22	KLC1	chr14	103629237	103629240	+	4	0.9894942824	2.30E-08	4.45E-05
ENSG00000141759.15	TXNL4A	chr18	79988538	79988541	-	4	1.746632133	1.05E-07	0.0001638295094
ENSG00000179820.16	MYADM	chr19	53869439	53869598	+	160	0.807236083	3.64E-07	0.0004501418281
ENSG00000166548.17	TK2	chr16	66550006	66550104	-	99	1.020898717	2.59E-08	4.88E-05
ENSG00000085491.17	SLC25A24	chr1	108200280	108200319	-	40	1.47474813	1.37E-07	0.0002033859351
ENSG00000104960.15	PTOV1	chr19	49851387	49851402	+	16	1.521815363	2.45E-08	4.70E-05
ENSG00000126214.22	KLC1	chr14	103629227	103629236	+	10	1.004336898	2.55E-08	4.83E-05
ENSG00000112941.14	TENT4A	chr5	6713432	6714631	+	1200	0.813804388	2.14E-06	0.001769340158
ENSG00000119408.17	NEK6	chr9	124257949	124257962	+	14	1.653410185	7.13E-08	0.0001164637065
ENSG00000092098.18	RNF31	chr14	24147567	24147591	+	25	1.15846011	3.26E-08	5.90E-05
ENSG00000166233.15	ARIH1	chr15	72474490	72474644	+	155	0.6660334839	5.99E-08	0.0001001214375
ENSG00000169429.12	CXCL8	chr4	73741678	73741948	+	271	0.8635076617	2.77E-07	0.0003637317637
ENSG00000178467.18	P4HTM	chr3	48990262	48990337	+	76	1.193087308	5.44E-08	9.23E-05
ENSG00000140859.16	KIFC3	chr16	57802471	57802491	-	21	1.69814313	2.27E-08	4.45E-05
ENSG00000134851.13	TMEM165	chr4	55395963	55396250	+	288	0.7077474456	6.99E-08	0.0001146408584
ENSG00000137193.14	PIM1	chr6	37170152	37170657	+	506	0.4374269307	3.70E-07	0.0004546437691
ENSG00000131626.19	PPFIA1	chr11	70270717	70270772	+	56	1.844885877	9.53E-07	0.0009419006861
ENSG00000126777.18	KTN1	chr14	55580315	55580321	+	7	0.5002933342	2.34E-08	4.50E-05
ENSG00000257512.1	ENSG00000257512	chr12	93315571	93315703	+	133	-4.001132011	5.14E-06	0.00356521642
ENSG00000205213.14	LGR4	chr11	27472315	27472775	-	461	0.464436217	2.83E-07	0.0003668048857
ENSG00000174307.7	PHLDA3	chr1	201468949	201469170	-	222	0.6040036029	4.92E-07	0.0005628510754
ENSG00000076604.16	TRAF4	chr17	28744040	28744054	+	15	1.444224521	5.41E-08	9.23E-05
ENSG00000179583.21	CIITA	chr16	10941186	10943021	+	1836	0.4435017943	8.94E-08	0.0001419237562
ENSG00000197312.12	DDI2	chr1	15617543	15617614	+	72	1.103146066	3.61E-07	0.0004493028764
ENSG00000132522.16	GPS2	chr17	7315124	7315251	-	128	1.06733077	5.92E-08	9.94E-05
ENSG00000105193.9	RPS16	chr19	39434391	39435606	-	1216	0.4619390847	1.44E-07	0.0002089837433
ENSG00000011028.14	MRC2	chr17	62627685	62627920	+	236	0.6142562175	1.80E-07	0.0002544380786
ENSG00000169026.13	SLC49A3	chr4	689184	689191	-	8	2.218855887	1.20E-07	0.000183808671
ENSG00000126777.18	KTN1	chr14	55580322	55580323	+	2	0.4930573391	3.41E-08	6.10E-05
ENSG00000160710.18	ADAR	chr1	154588259	154588550	-	292	-1.128738918	1.45E-07	0.0002092210817
ENSG00000105325.15	FZR1	chr19	3506311	3506362	+	52	1.280586654	1.07E-07	0.000166353009
ENSG00000139318.8	DUSP6	chr12	89351026	89351171	-	146	0.5076276833	2.69E-06	0.002106398065
ENSG00000126214.22	KLC1	chr14	103629241	103629296	+	56	0.7964512392	5.39E-08	9.23E-05
ENSG00000100030.15	MAPK1	chr22	21867441	21867645	-	205	0.6775104707	4.39E-06	0.003164054244
ENSG00000161904.12	LEMD2	chr6	33788831	33789119	-	289	0.6278095502	7.96E-08	0.0001286753097
ENSG00000158710.15	TAGLN2	chr1	159925019	159925229	-	211	0.5591135002	1.72E-06	0.001476912958
ENSG00000167977.9	KCTD5	chr16	2682533	2682539	+	7	2.480820855	5.45E-07	0.0006095203054
ENSG00000198825.15	INPP5F	chr10	119726162	119726207	+	46	1.366172919	6.85E-08	0.0001130665821
ENSG00000160710.18	ADAR	chr1	154590184	154590261	-	78	0.4360591666	2.05E-07	0.0002859844413
ENSG00000169026.13	SLC49A3	chr4	689152	689183	-	32	1.709598753	1.50E-07	0.000215402196
ENSG00000100106.22	TRIOBP	chr22	37746270	37746321	+	52	1.424160468	1.24E-07	0.0001870325661
ENSG00000135046.14	ANXA1	chr9	73168098	73169031	+	934	0.4068543447	4.21E-06	0.003044706764
ENSG00000158373.9	H2BC5	chr6	26170975	26171349	+	375	-0.4548130019	3.82E-06	0.00280360825
ENSG00000077782.23	FGFR1	chr8	38468602	38468616	-	15	1.321818283	4.69E-08	8.15E-05
ENSG00000115756.13	HPCAL1	chr2	10302904	10303177	+	274	0.4747702406	2.49E-07	0.0003361686916
ENSG00000157557.13	ETS2	chr21	38805971	38805982	+	12	1.14855208	2.02E-07	0.0002828438281
