GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Tipo	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	riExonStart_0base	riExonEnd	exonStart_0base	exonEnd
ENSG00000038382.23	TRIO	chr5	+	NA	NA	NA	NA	NA	NA	78675	7,4,10	6,4,7	5,13,12	0,0,0	167	39	0.004457397	0.1739139	0.214,0.189,0.25	1.0,1.0,1.0	-0.782	SE	NA	NA	NA	NA	14144819	14145021	14270824	14270899	NA	NA	NA	14268765	14268893
ENSG00000253361.3	ENSG00000253361	chr8	-	NA	NA	NA	NA	NA	NA	108508	9,1,3	8,5,3	5,22,7	0,1,0	135	39	0.005038728	0.1739139	0.245,0.055,0.224	1.0,0.864,1.0	-0.78	SE	NA	NA	NA	NA	38543651	38543846	38553715	38553868	NA	NA	NA	38544083	38544179
ENSG00000197647.13	ZNF433	chr19	-	NA	NA	NA	NA	NA	NA	110969	2,0,2	6,10,3	5,4,2	1,0,0	98	39	0.005753073	0.1739139	0.117,0.0,0.21	0.666,1.0,1.0	-0.78	SE	NA	NA	NA	NA	12018165	12018301	12035536	12035676	NA	NA	NA	12030139	12030198
ENSG00000123352.18	SPATS2	chr12	+	NA	NA	NA	NA	NA	NA	131178	1,0,4	3,2,2	10,3,9	1,0,0	200	39	0.006712076	0.1739139	0.061,0.0,0.281	0.661,1.0,1.0	-0.773	SE	NA	NA	NA	NA	49441729	49441816	49460769	49461037	NA	NA	NA	49454224	49454385
ENSG00000156171.15	DRAM2	chr1	-	NA	NA	NA	NA	NA	NA	56122	0,0,0	0,2,1	0,4,2	0,0,1	67	39	0.01005315	0.1761694	NA,0.0,0.0	NA,1.0,0.538	-0.769	SE	NA	NA	NA	NA	111120515	111120693	111126226	111126294	NA	NA	NA	111122615	111122643
ENSG00000052749.14	RRP12	chr10	-	NA	NA	NA	NA	NA	NA	120903	4,0,0	5,1,3	0,6,1	0,1,0	105	39	0.004158316	0.1739139	0.229,0.0,0.0	NA,0.69,1.0	-0.769	SE	NA	NA	NA	NA	97418792	97419495	97426022	97426046	NA	NA	NA	97425673	97425739
ENSG00000245281.9	ASAH1-AS1	chr8	+	NA	NA	NA	NA	NA	NA	59246	10,7,7	4,7,2	3,6,8	0,0,0	283	39	0.007655171	0.1739139	0.256,0.121,0.325	1.0,1.0,1.0	-0.766	SE	NA	NA	NA	NA	18084688	18084939	18086882	18086936	NA	NA	NA	18085241	18085485
ENSG00000163157.15	TMOD4	chr1	-	NA	NA	NA	NA	NA	NA	58154	0,2,0	7,4,4	1,4,8	0,0,3	184	39	0.01110337	0.1776813	0.0,0.096,0.0	1.0,1.0,0.361	-0.755	SE	NA	NA	NA	NA	151169986	151170103	151170919	151171059	NA	NA	NA	151170518	151170663
ENSG00000137500.10	CCDC90B	chr11	-	83273950	83274740	83274638	83274740	83273646	83273700	9910	11,16,23	0,0,0	9,9,12	11,2,2	727	39	0.0001436538588	0.04127151865	1.0,1.0,1.0	0.042,0.194,0.243	0.84	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000216937.14	CCDC7	chr10	+	NA	NA	NA	NA	NA	NA	32567	0,0,0	6,0,0	6,2,1	7,0,0	115	39	0.01141932	0.1781127	0.0,NA,NA	0.225,1.0,1.0	-0.742	SE	NA	NA	NA	NA	32473966	32474023	32517944	32517975	NA	NA	NA	32491921	32491997
ENSG00000108509.21	CAMTA2	chr17	-	NA	NA	NA	NA	NA	NA	64364	3,3,3	2,5,3	4,4,15	0,0,1	178	39	0.006391116	0.1739139	0.247,0.116,0.18	1.0,1.0,0.767	-0.741	SE	NA	NA	NA	NA	4981677	4981742	4982756	4982892	NA	NA	NA	4982088	4982227
ENSG00000145604.17	SKP2	chr5	+	NA	NA	NA	NA	NA	NA	50545	1,1,0	12,3,0	4,6,4	0,0,2	149	39	0.01492982	0.1900502	0.021,0.08,NA	1.0,1.0,0.344	-0.731	SE	NA	NA	NA	NA	36152770	36153042	36171602	36171733	NA	NA	NA	36170343	36170453
ENSG00000071189.21	SNX13	chr7	-	NA	NA	NA	NA	NA	NA	56593	0,0,0	1,1,0	3,8,3	0,1,3	80	39	0.004069168	0.1739139	0.0,0.0,NA	1.0,0.796,0.328	-0.708	SE	NA	NA	NA	NA	17897333	17897446	17907248	17907340	NA	NA	NA	17897843	17897884
ENSG00000204104.12	TRAF3IP1	chr2	+	NA	NA	NA	NA	NA	NA	57684	0,0,5	8,0,4	3,0,7	0,0,1	135	39	0.01286093	0.1822568	0.0,NA,0.265	1.0,NA,0.669	-0.702	SE	NA	NA	NA	NA	238333959	238334035	238344496	238344598	NA	NA	NA	238338361	238338457
ENSG00000283199.3	C13orf46	chr13	-	NA	NA	NA	NA	NA	NA	122213	5,5,10	2,4,3	14,20,6	0,0,0	205	39	0.005164426	0.1739139	0.322,0.192,0.388	1.0,1.0,1.0	-0.699	SE	NA	NA	NA	NA	113964926	113964994	113970170	113970222	NA	NA	NA	113968594	113968760
ENSG00000257337.9	TNS2-AS1	chr12	-	NA	NA	NA	NA	NA	NA	9653	4,0,3	8,1,1	6,1,8	0,0,2	346	39	0.01768697919	0.189257838	0.053,0.0,0.253	1.0,1.0,0.311	-0.668	RI	NA	NA	NA	NA	53045599	53045653	53045960	53046061	NA	53045599	53046061	NA	NA
ENSG00000117616.18	RSRP1	chr1	-	NA	NA	NA	NA	NA	NA	77741	0,1,2	6,1,3	8,6,4	0,2,0	248	39	0.01379155	0.185114	0.0,0.136,0.095	1.0,0.321,1.0	-0.697	SE	NA	NA	NA	NA	25306895	25306949	25337039	25337401	NA	NA	NA	25318062	25318271
ENSG00000137075.18	RNF38	chr9	-	36400935	36401198	36401097	36401198	36390466	36390616	9023	22,9,6	1,0,0	0,0,3	0,2,2	201	39	0.008722154926	0.1672409906	0.81,1.0,1.0	NA,0.0,0.225	0.824	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000085465.13	OVGP1	chr1	-	NA	NA	NA	NA	NA	NA	6081	0,3,2	4,2,3	6,12,1	1,1,0	142	39	0.008507428523	0.1524005325	0.0,0.292,0.155	0.622,0.767,1.0	-0.647	RI	NA	NA	NA	NA	111421275	111421461	111421564	111421673	NA	111421275	111421673	NA	NA
ENSG00000115762.17	PLEKHB2	chr2	+	NA	NA	NA	NA	NA	NA	91306	1,0,0	5,7,0	6,6,9	0,0,18	79	39	0.01327919	0.1836317	0.09,0.0,NA	1.0,1.0,0.198	-0.688	SE	NA	NA	NA	NA	131125752	131125905	131140166	131140275	NA	NA	NA	131130720	131130760
ENSG00000130988.13	RGN	chrX	+	NA	NA	NA	NA	NA	NA	1712	16,14,0	13,1,2	2,21,10	0,1,0	659	39	0.01268276952	0.1816863114	0.068,0.453,0.0	1.0,0.554,1.0	-0.678	SE	NA	NA	NA	NA	47078354	47078709	47081129	47081307	NA	NA	NA	47080316	47080936
ENSG00000100485.12	SOS2	chr14	-	NA	NA	NA	NA	NA	NA	137758	3,0,2	2,6,1	2,2,14	0,0,1	98	39	0.008333375	0.1739139	0.374,0.0,0.443	1.0,1.0,0.848	-0.677	SE	NA	NA	NA	NA	50201037	50201084	50231196	50231362	NA	NA	NA	50215373	50215432
ENSG00000226696.8	LENG8-AS1	chr19	-	NA	NA	NA	NA	NA	NA	6844	4,9,3	3,3,2	2,4,2	0,0,0	150	39	0.01649380314	0.197414964	0.257,0.438,0.281	1.0,1.0,1.0	-0.675	SE	NA	NA	NA	NA	54445283	54445514	54448164	54448602	NA	NA	NA	54445920	54446031
ENSG00000135063.20	ENTREP1	chr9	+	NA	NA	NA	NA	NA	NA	3112	8,2,11	4,1,0	16,14,7	0,0,0	2249	39	0.008813084512	0.1542581614	0.034,0.034,1.0	1.0,1.0,1.0	-0.644	RI	NA	NA	NA	NA	69385794	69385947	69388157	69388450	NA	69385794	69388450	NA	NA
ENSG00000225855.7	RUSC1-AS1	chr1	-	NA	NA	NA	NA	NA	NA	55479	20,11,8	4,4,5	2,6,12	0,0,0	234	39	0.01116541	0.1776813	0.455,0.314,0.211	1.0,1.0,1.0	-0.673	SE	NA	NA	NA	NA	155321624	155321695	155324077	155324168	NA	NA	NA	155322242	155322437
ENSG00000131051.24	RBM39	chr20	-	NA	NA	NA	NA	NA	NA	5447	0,0,9	5,2,0	4,6,9	0,0,0	89	39	0.002299566795	0.1739139121	0.0,0.0,1.0	1.0,1.0,1.0	-0.667	SE	NA	NA	NA	NA	35725037	35725155	35741940	35741958	NA	NA	NA	35738967	35739017
ENSG00000128891.17	CCDC32	chr15	-	NA	NA	NA	NA	NA	NA	22815	0,4,0	5,0,1	5,5,16	0,0,0	156	39	0.002385932	0.1739139	0.0,1.0,0.0	1.0,1.0,1.0	-0.667	SE	NA	NA	NA	NA	40531340	40532302	40562771	40563027	NA	NA	NA	40539238	40539355
ENSG00000139531.13	SUOX	chr12	+	55999332	55999590	55999332	55999458	56001885	56001948	3048	8,9,9	0,0,0	9,7,6	4,4,4	171	39	1.19E-05	0.01413344901	1.0,1.0,1.0	0.339,0.285,0.255	0.707	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137841.12	PLCB2	chr15	-	NA	NA	NA	NA	NA	NA	22865	6,0,0	0,3,2	5,8,10	0,0,0	205	39	0.002359625	0.1739139	1.0,0.0,0.0	1.0,1.0,1.0	-0.667	SE	NA	NA	NA	NA	40290760	40290837	40291264	40291487	NA	NA	NA	40291017	40291183
ENSG00000248323.8	LUCAT1	chr5	-	NA	NA	NA	NA	NA	NA	29932	0,0,1	2,3,0	5,6,5	0,0,0	104	39	0.002619485	0.1739139	0.0,0.0,1.0	1.0,1.0,1.0	-0.667	SE	NA	NA	NA	NA	91303872	91303971	91313077	91313229	NA	NA	NA	91306031	91306096
ENSG00000140743.8	CDR2	chr16	-	NA	NA	NA	NA	NA	NA	35916	7,0,0	0,1,2	0,1,3	0,0,0	93	39	0.00905047	0.1742593	1.0,0.0,0.0	NA,1.0,1.0	-0.667	SE	NA	NA	NA	NA	22364901	22365014	22429795	22429948	NA	NA	NA	22422160	22422214
ENSG00000250320.7	EDIL3-DT	chr5	+	NA	NA	NA	NA	NA	NA	41243	0,2,0	4,0,2	6,0,2	0,0,0	112	39	0.007596473	0.1739139	0.0,1.0,0.0	1.0,NA,1.0	-0.667	SE	NA	NA	NA	NA	84384571	84384599	84385751	84385794	NA	NA	NA	84385557	84385630
ENSG00000157087.20	ATP2B2	chr3	-	NA	NA	NA	NA	NA	NA	75108	0,0,2	4,1,1	2,2,6	0,0,3	94	39	0.01505978	0.1907747	0.0,0.0,0.453	1.0,1.0,0.453	-0.667	SE	NA	NA	NA	NA	10324022	10329125	10336128	10336300	NA	NA	NA	10331982	10332037
ENSG00000090013.11	BLVRB	chr19	-	40458173	40458545	40458380	40458545	40451363	40451492	666	33,23,30	0,0,0	12,17,6	3,4,4	246	39	1.85E-05	0.01413344901	1.0,1.0,1.0	0.388,0.403,0.192	0.672	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000226149.6	ENSG00000226149	chr6	-	NA	NA	NA	NA	NA	NA	96819	6,0,0	0,12,4	0,4,7	0,0,0	113	39	0.006718485	0.1739139	1.0,0.0,0.0	NA,1.0,1.0	-0.667	SE	NA	NA	NA	NA	129526622	129526785	129539175	129539375	NA	NA	NA	129528664	129528738
ENSG00000135838.14	NPL	chr1	+	182806144	182806531	182806144	182806232	182812155	182812213	5554	8,3,0	0,0,1	0,0,0	2,7,2	338	39	0.002358748347	0.166650743	1.0,1.0,0.0	0.0,0.0,0.0	0.667	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000119782.14	FKBP1B	chr2	+	NA	NA	NA	NA	NA	NA	137114	1,0,0	0,1,6	0,2,1	0,0,0	128	39	0.008931226	0.1740438	1.0,0.0,0.0	NA,1.0,1.0	-0.667	SE	NA	NA	NA	NA	24053901	24053949	24054472	24054540	NA	NA	NA	24054103	24054192
ENSG00000146054.18	TRIM7	chr5	-	181203476	181203640	181203544	181203640	181199850	181200081	2299	6,10,4	0,1,0	2,1,1	1,1,2	107	39	0.01379899691	0.1912975854	1.0,0.785,1.0	0.422,0.267,0.154	0.647	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000248323.8	LUCAT1	chr5	-	NA	NA	NA	NA	NA	NA	29930	0,1,1	4,5,2	8,10,7	0,2,2	104	39	0.003479618	0.1739139	0.0,0.07,0.158	1.0,0.652,0.568	-0.664	SE	NA	NA	NA	NA	91303872	91303971	91310855	91311032	NA	NA	NA	91306031	91306096
ENSG00000184428.13	TOP1MT	chr8	-	NA	NA	NA	NA	NA	NA	111624	3,6,4	7,1,1	5,1,4	0,0,0	217	39	0.01403554	0.1861366	0.072,0.519,0.418	1.0,1.0,1.0	-0.664	SE	NA	NA	NA	NA	143332502	143332601	143334739	143334795	NA	NA	NA	143334107	143334285
ENSG00000175274.19	TP53I11	chr11	-	NA	NA	NA	NA	NA	NA	90119	10,8,1	10,1,6	4,9,19	0,0,0	116	39	0.004554186	0.1739139	0.252,0.729,0.053	1.0,1.0,1.0	-0.655	SE	NA	NA	NA	NA	44938206	44938366	44941002	44941077	NA	NA	NA	44939113	44939190
ENSG00000189144.15	ZNF573	chr19	-	NA	NA	NA	NA	NA	NA	17740	7,11,12	3,5,6	15,9,3	0,0,0	160	39	0.006783681	0.1739139	0.363,0.349,0.328	1.0,1.0,1.0	-0.653	SE	NA	NA	NA	NA	37738286	37740194	37759046	37759139	NA	NA	NA	37758475	37758596
ENSG00000115204.15	MPV17	chr2	-	NA	NA	NA	NA	NA	NA	137637	1,0,2	4,0,5	5,5,9	0,4,0	72	39	0.01616061	0.1955327	0.119,NA,0.178	1.0,0.404,1.0	-0.653	SE	NA	NA	NA	NA	27309491	27309981	27312405	27312453	NA	NA	NA	27312213	27312246
ENSG00000163596.17	ICA1L	chr2	-	NA	NA	NA	NA	NA	NA	50948	4,1,1	2,2,1	7,3,11	0,0,2	166	39	0.01523096	0.1912785	0.32,0.105,0.19	1.0,1.0,0.564	-0.65	SE	NA	NA	NA	NA	202828847	202829016	202871160	202871472	NA	NA	NA	202870529	202870656
ENSG00000197568.15	HHLA3	chr1	+	NA	NA	NA	NA	NA	NA	76786	0,0,0	1,0,3	3,0,2	3,0,0	91	39	0.009135298	0.1743832	0.0,NA,0.0	0.3,NA,1.0	-0.65	SE	NA	NA	NA	NA	70366443	70366537	70367616	70367723	NA	NA	NA	70366932	70366984
ENSG00000250802.7	ZBED3-AS1	chr5	+	NA	NA	NA	NA	NA	NA	136277	1,0,1	0,2,6	2,4,4	0,0,0	97	39	0.003934274	0.1739139	1.0,0.0,0.063	1.0,1.0,1.0	-0.646	SE	NA	NA	NA	NA	77087001	77087619	77098654	77098669	NA	NA	NA	77089345	77089403
ENSG00000124523.17	SIRT5	chr6	+	NA	NA	NA	NA	NA	NA	27103	4,2,4	2,1,6	3,6,2	0,0,0	101	39	0.008108409	0.1739139	0.436,0.436,0.205	1.0,1.0,1.0	-0.641	SE	NA	NA	NA	NA	13574622	13574832	13579450	13579609	NA	NA	NA	13578771	13578833
ENSG00000291176.1	ENSG00000291176	chr2	+	NA	NA	NA	NA	NA	NA	49370	2,0,0	2,10,0	3,2,4	0,0,3	99	39	0.01640385	0.1970567	0.283,0.0,NA	1.0,1.0,0.344	-0.64	SE	NA	NA	NA	NA	96015108	96015325	96021124	96021233	NA	NA	NA	96019200	96019260
ENSG00000131844.17	MCCC2	chr5	+	NA	NA	NA	NA	NA	NA	45044	0,0,0	0,3,0	0,6,2	0,6,0	103	39	0.01282534	0.1822446	NA,0.0,NA	NA,0.275,1.0	-0.637	SE	NA	NA	NA	NA	71641002	71641083	71643770	71643895	NA	NA	NA	71642663	71642727
ENSG00000184924.6	PTRHD1	chr2	-	NA	NA	NA	NA	NA	NA	99652	0,3,6	1,5,0	5,12,9	0,0,0	240	39	0.005556281	0.1739139	0.0,0.089,1.0	1.0,1.0,1.0	-0.637	SE	NA	NA	NA	NA	24790204	24790581	24792766	24793053	NA	NA	NA	24792383	24792584
ENSG00000161813.23	LARP4	chr12	+	NA	NA	NA	NA	NA	NA	131313	0,3,0	0,2,2	1,0,14	0,0,3	88	39	0.0120637	0.1801006	NA,0.399,0.0	1.0,NA,0.674	-0.637	SE	NA	NA	NA	NA	50402674	50402813	50427764	50427909	NA	NA	NA	50412404	50412453
ENSG00000156958.15	GALK2	chr15	+	NA	NA	NA	NA	NA	NA	22308	11,9,9	3,3,5	18,27,8	0,0,0	184	39	0.004888488	0.1739139	0.437,0.389,0.276	1.0,1.0,1.0	-0.633	SE	NA	NA	NA	NA	49318110	49318192	49319603	49319805	NA	NA	NA	49318971	49319116
ENSG00000092200.13	RPGRIP1	chr14	+	NA	NA	NA	NA	NA	NA	136732	6,3,0	8,0,5	3,3,2	0,0,0	235	39	0.006683062	0.1739139	0.111,1.0,0.0	1.0,1.0,1.0	-0.63	SE	NA	NA	NA	NA	21324568	21324725	21325231	21325383	NA	NA	NA	21324874	21325070
ENSG00000133466.14	C1QTNF6	chr22	-	NA	NA	NA	NA	NA	NA	2911	2,0,1	0,1,2	3,8,2	0,0,0	117	39	0.008015180849	0.1739139121	1.0,0.0,0.143	1.0,1.0,1.0	-0.619	SE	NA	NA	NA	NA	37191671	37191737	37197602	37197748	NA	NA	NA	37195380	37195458
ENSG00000198185.12	ZNF334	chr20	-	NA	NA	NA	NA	NA	NA	4976	9,5,11	15,2,3	8,13,3	0,1,0	191	39	0.01324163086	0.1836317324	0.109,0.338,0.428	1.0,0.726,1.0	-0.617	SE	NA	NA	NA	NA	46504613	46504740	46509604	46509751	NA	NA	NA	46506306	46506458
ENSG00000184216.15	IRAK1	chrX	-	NA	NA	NA	NA	NA	NA	256	0,2,8	3,4,0	2,3,3	0,0,0	105	39	0.008058081544	0.1739139121	0.0,0.157,1.0	1.0,1.0,1.0	-0.614	SE	NA	NA	NA	NA	154010505	154011917	154016948	154016994	NA	NA	NA	154016031	154016097
