gene_symbol	ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_transcripts	n_differential_transcripts	n_overexpressed_transcripts	n_underexpressed_transcripts	n_exons	n_differential_exons	n_overexpressed_exons	n_underexpressed_exons	n_events	n_differential_events	n_overexpressed_events	n_underexpressed_events	Ediciones
ALDH6A1	ENSG00000119711.13	2290.963615	0.2997839033	0.07314925506	4.098249573	4.16E-05	0.001089160491	7	0	0	0	18	0	0	0	12	0	0	0	7
ALKBH5	ENSG00000091542.9	13358.27998	0.160992142	0.05433492179	2.962958935	0.003046972153	0.04075198691	3	0	0	0	7	0	0	0	3	0	0	0	0
ALKBH7	ENSG00000125652.8	1728.981198	0.3614208207	0.09500492929	3.8042323	0.000142244647	0.003171070038	3	0	0	0	6	0	0	0	1	0	0	0	0
ALPP	ENSG00000163283.7	474.6939741	0.7183890406	0.1949138822	3.685674064	0.00022809812	0.004806007202	3	0	0	0	14	0	0	0	0	0	0	0	0
AMPD3	ENSG00000133805.16	1746.019331	-0.519229998	0.09266888099	-5.603067529	2.11E-08	1.07E-06	18	0	0	0	37	0	0	0	28	0	0	0	2
ANGEL2	ENSG00000174606.14	3346.265343	0.2337268624	0.06772352414	3.45119167	0.0005581170571	0.01010510191	8	0	0	0	19	0	0	0	3	1	1	0	0
ANKRD2	ENSG00000165887.12	80.89162155	-1.585541313	0.2897482605	-5.472134019	4.45E-08	2.10E-06	4	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD33B	ENSG00000164236.12	5099.787808	-0.3404859446	0.09446884907	-3.60421396	0.0003130990547	0.00628018146	2	0	0	0	7	0	0	0	6	0	0	0	0
ANKRD37	ENSG00000186352.9	578.1266267	0.357684033	0.1163563533	3.074039559	0.002111814279	0.0304543829	6	0	0	0	15	0	0	0	4	0	0	0	0
ANKRD46	ENSG00000186106.11	3611.62827	-0.4313812477	0.08380752135	-5.147285599	2.64E-07	1.11E-05	11	0	0	0	24	0	0	0	7	0	0	0	1
ANKRD9	ENSG00000156381.9	2400.4949	0.3419328974	0.09472432899	3.609768483	0.0003064704183	0.00618893485	5	0	0	0	13	0	0	0	1	0	0	0	0
ANLN	ENSG00000011426.11	35330.35428	0.2623464985	0.05390095763	4.867195501	1.13E-06	4.10E-05	13	0	0	0	50	0	0	0	24	0	0	0	0
ANO9	ENSG00000185101.13	78.38029437	-1.483592197	0.3453950464	-4.295348797	1.74E-05	0.0004985281175	8	0	0	0	7	0	0	0	5	2	0	2	0
ANTKMT	ENSG00000103254.10	1098.29494	0.4724594523	0.1215074372	3.888317152	0.0001009416724	0.002349985656	8	0	0	0	15	0	0	0	2	0	0	0	0
ANTXR2	ENSG00000163297.18	18221.29195	-0.2195135342	0.05556708076	-3.950424086	7.80E-05	0.001887609449	13	0	0	0	45	0	0	0	16	0	0	0	1
APCDD1L	ENSG00000198768.11	3168.297273	-0.3627651304	0.07638822216	-4.748966792	2.04E-06	7.04E-05	3	0	0	0	8	0	0	0	1	0	0	0	0
APCDD1L-DT	ENSG00000231290.7	497.6418689	-0.3684851074	0.1257121608	-2.93118108	0.003376758857	0.04390893044	10	0	0	0	19	0	0	0	11	1	0	1	0
APEH	ENSG00000164062.13	8604.039579	0.1933978907	0.06594895316	2.932539206	0.003362024709	0.04381305216	16	0	0	0	53	0	0	0	29	0	0	0	1
APLF	ENSG00000169621.11	1162.575045	-0.3565380893	0.1059647027	-3.364687298	0.0007663045343	0.01311642319	6	0	0	0	15	0	0	0	6	0	0	0	0
APLN	ENSG00000171388.12	628.4711969	0.3652513555	0.1170183348	3.121317322	0.001800439137	0.02680841489	1	0	0	0	3	0	0	0	0	0	0	0	0
APOA2	ENSG00000158874.11	5.584899806	-5.909261998	1.558721007	-3.791096655	0.0001499835674	0.003324915043	10	1	0	1	0	0	0	0	0	0	0	0	0
APOL2	ENSG00000128335.14	6348.699904	-0.2472977538	0.06243444953	-3.960918301	7.47E-05	0.001815760355	9	0	0	0	20	0	0	0	3	0	0	0	0
APOL3	ENSG00000128284.20	1559.122763	-0.3066998473	0.09647901745	-3.178927972	0.001478208185	0.02278162487	22	0	0	0	28	0	0	0	20	0	0	0	0
AQP4-AS1	ENSG00000260372.7	22.46891475	-3.474281144	0.6876126356	-5.052672049	4.36E-07	1.73E-05	17	1	0	1	0	0	0	0	0	0	0	0	0
AREG	ENSG00000109321.11	21413.19614	-0.191615882	0.06034753297	-3.175206551	0.001497298796	0.02301119147	3	0	0	0	8	0	0	0	5	0	0	0	0
ARHGAP11A	ENSG00000198826.11	9835.047341	0.2767853569	0.06071822488	4.558521884	5.15E-06	0.0001641925296	8	0	0	0	28	0	0	0	13	0	0	0	0
ARHGAP24	ENSG00000138639.18	884.0423967	-0.48585574	0.1012701936	-4.797618361	1.61E-06	5.65E-05	12	1	0	1	19	0	0	0	2	0	0	0	0
ARHGAP25	ENSG00000163219.12	387.6389663	-2.50866332	0.1771867235	-14.15830301	1.66E-45	5.57E-43	17	2	0	2	15	0	0	0	3	0	0	0	0
ARHGAP31	ENSG00000031081.11	4203.747003	-0.3762755095	0.07042091808	-5.343234933	9.13E-08	4.15E-06	2	0	0	0	13	0	0	0	1	0	0	0	0
ARHGAP36	ENSG00000147256.12	38.40228014	-3.327352687	0.5644085156	-5.895291433	3.74E-09	2.15E-07	6	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP39	ENSG00000147799.12	2349.203847	-0.568960495	0.08045596185	-7.071700865	1.53E-12	1.35E-10	3	0	0	0	14	1	1	0	4	0	0	0	0
ARHGAP42	ENSG00000165895.19	7198.540457	-0.4218132421	0.08365428294	-5.042338865	4.60E-07	1.82E-05	9	0	0	0	33	1	1	0	14	0	0	0	0
ARHGAP6	ENSG00000047648.23	28.76525495	-2.700760644	0.5587886618	-4.833241669	1.34E-06	4.79E-05	9	0	0	0	0	0	0	0	0	0	0	0	0
ARHGDIG	ENSG00000242173.10	608.2949729	-2.200692707	0.1186506427	-18.54766781	8.52E-77	5.63E-74	4	1	0	1	0	0	0	0	0	0	0	0	0
ARHGEF10L	ENSG00000074964.17	1600.086299	-0.3055072782	0.08292419268	-3.68417549	0.000229444129	0.004825826209	9	0	0	0	36	0	0	0	16	0	0	0	1
ARHGEF17-AS1	ENSG00000257038.1	56.34596268	1.092882124	0.3202034636	3.413086515	0.0006423154776	0.01133646346	1	0	0	0	3	0	0	0	0	0	0	0	0
ARHGEF3	ENSG00000163947.12	3868.517419	-0.2671298579	0.06870191112	-3.888244934	0.0001009717051	0.002349985656	15	0	0	0	26	0	0	0	13	0	0	0	0
ARHGEF40	ENSG00000165801.10	4009.64638	-0.5339617952	0.06604576576	-8.084724116	6.23E-16	7.10E-14	8	0	0	0	42	4	4	0	36	0	0	0	0
ARL14EP	ENSG00000152219.5	2241.166876	-0.2576791572	0.07473693476	-3.447815434	0.0005651400754	0.01021671986	4	0	0	0	10	0	0	0	3	0	0	0	1
ARL4A	ENSG00000122644.13	6038.980167	0.2268402501	0.06220841409	3.646456084	0.0002658818925	0.005461934408	7	0	0	0	13	0	0	0	3	0	0	0	1
ARL5A	ENSG00000162980.17	5184.38673	0.2208104197	0.07451926716	2.963131927	0.003045260206	0.04075198691	7	0	0	0	18	3	3	0	6	0	0	0	0
ARL6IP1	ENSG00000170540.15	15173.85461	0.2507940794	0.05824298957	4.305995988	1.66E-05	0.0004785870103	8	0	0	0	19	0	0	0	10	0	0	0	0
ARL6IP5	ENSG00000144746.7	15986.30491	-0.2793419671	0.0660121664	-4.231673983	2.32E-05	0.000645175126	5	0	0	0	14	0	0	0	3	0	0	0	0
ARL6IP6	ENSG00000177917.12	3255.384649	0.2985286203	0.08868467946	3.366180293	0.0007621687521	0.01307382984	23	0	0	0	47	0	0	0	13	1	0	1	0
ARMCX5-GPRASP2	ENSG00000286237.1	84.93377594	-1.638235193	0.4211962419	-3.88948198	0.0001004584274	0.002344916371	11	0	0	0	35	0	0	0	15	1	1	0	0
ARPIN	ENSG00000242498.8	2211.448822	0.4261353972	0.07184481733	5.931331069	3.00E-09	1.76E-07	3	0	0	0	9	0	0	0	1	0	0	0	30
ARPP19	ENSG00000128989.11	11146.59702	0.3503767282	0.07298074525	4.800947524	1.58E-06	5.56E-05	13	1	0	1	24	0	0	0	8	3	2	1	0
ARRB1	ENSG00000137486.17	3347.511144	-0.3685916815	0.07605254163	-4.846539952	1.26E-06	4.51E-05	12	0	0	0	27	0	0	0	8	0	0	0	0
ARRDC3	ENSG00000113369.9	8516.218868	-0.2247458829	0.0629228991	-3.57176618	0.0003545819173	0.006988609992	7	0	0	0	21	0	0	0	6	0	0	0	0
ARRDC4	ENSG00000140450.9	214.5441274	0.52210688	0.1797579031	2.904500281	0.003678398737	0.04713616551	1	0	0	0	8	0	0	0	1	0	0	0	0
ARTN	ENSG00000117407.17	1517.509913	0.6444014562	0.08636822902	7.461093778	8.58E-14	8.55E-12	11	0	0	0	22	0	0	0	16	0	0	0	0
ASB13	ENSG00000196372.13	1803.37793	0.3218340364	0.07829299955	4.110636177	3.95E-05	0.001042655817	5	0	0	0	12	0	0	0	5	0	0	0	0
ASB2	ENSG00000100628.12	153.4890769	-3.308880436	0.2614717062	-12.6548317	1.05E-36	2.95E-34	10	1	0	1	6	0	0	0	1	0	0	0	0
ASF1B	ENSG00000105011.9	3306.925665	0.3543294939	0.08244545094	4.297744628	1.73E-05	0.0004937642857	5	0	0	0	11	0	0	0	4	0	0	0	0
ASIC4	ENSG00000072182.14	135.3731715	-1.741282244	0.2246694647	-7.750417914	9.16E-15	9.69E-13	6	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	ENSG00000115966.18	7275.63584	-0.2027419757	0.06621139685	-3.062040455	0.002198337396	0.03139784947	20	0	0	0	35	0	0	0	43	0	0	0	0
ATF7IP2	ENSG00000166669.14	76.48832018	-1.020421957	0.2876327365	-3.547655839	0.0003886757398	0.007566623622	18	0	0	0	3	0	0	0	0	0	0	0	0
ATG4C	ENSG00000125703.15	1179.21504	0.2526773662	0.08696056718	2.905654532	0.003664858317	0.04698794381	5	0	0	0	16	0	0	0	5	0	0	0	0
ATG4D	ENSG00000130734.10	2674.428153	0.2613284995	0.08262141681	3.162963183	0.00156172081	0.02383526331	12	0	0	0	31	2	2	0	27	0	0	0	0
ATG7	ENSG00000197548.13	2939.023801	-0.3657844737	0.06878773233	-5.317582966	1.05E-07	4.71E-06	26	0	0	0	52	0	0	0	42	2	2	0	0
ATOH8	ENSG00000168874.13	275.9007169	0.624427805	0.1575551407	3.963233457	7.39E-05	0.001801915082	5	0	0	0	7	0	0	0	1	0	0	0	0
ATP10A	ENSG00000206190.13	2449.15966	0.2619681828	0.07396140884	3.541957717	0.0003971691334	0.00767548693	19	0	0	0	41	0	0	0	9	0	0	0	0
ATP2B1	ENSG00000070961.17	34774.64653	-0.3717377964	0.06920999682	-5.371157542	7.82E-08	3.60E-06	11	0	0	0	41	0	0	0	26	0	0	0	0
ATP2B2	ENSG00000157087.20	219.7624401	0.6787550762	0.1950352358	3.480166409	0.00050110243	0.009342793858	14	0	0	0	22	0	0	0	5	2	1	1	0
ATP2C2	ENSG00000064270.13	25.27958939	-3.910601493	0.7109085102	-5.500850583	3.78E-08	1.83E-06	15	0	0	0	22	0	0	0	0	0	0	0	1
ATP5F1D	ENSG00000099624.8	1461.502377	0.3160035658	0.1040751938	3.036300526	0.002395005206	0.03368144061	9	0	0	0	14	0	0	0	2	0	0	0	0
ATP6V0D2	ENSG00000147614.4	259.9810537	-0.5606206989	0.1614387964	-3.472651627	0.0005153438169	0.009533660401	3	0	0	0	10	0	0	0	2	0	0	0	0
ATP8A1	ENSG00000124406.17	883.8981166	0.4361711056	0.1014591657	4.298981787	1.72E-05	0.0004916073449	11	0	0	0	44	0	0	0	10	1	1	0	0
ATP8B4	ENSG00000104043.15	10.59506508	-2.464904394	0.823548435	-2.993029055	0.00276223451	0.03775318109	19	0	0	0	0	0	0	0	0	0	0	0	0
ATRIP	ENSG00000164053.22	1457.129746	0.2624119602	0.08606074618	3.049148095	0.002294913216	0.03258174643	9	0	0	0	28	0	0	0	11	0	0	0	0
ATRNL1	ENSG00000107518.18	1707.375177	-0.2823383249	0.08909172365	-3.169074672	0.001529251007	0.02339970258	11	2	1	1	37	0	0	0	11	1	0	1	0
B3GNT7	ENSG00000156966.7	477.3483395	-1.005682719	0.1586644213	-6.338426164	2.32E-10	1.57E-08	2	0	0	0	3	0	0	0	0	0	0	0	0
B4GALNT4	ENSG00000182272.12	728.9711388	0.4515888394	0.1083741276	4.166943248	3.09E-05	0.0008333455411	5	0	0	0	22	0	0	0	8	0	0	0	0
B4GALT5	ENSG00000158470.5	13440.31864	-0.225282996	0.07143800608	-3.153545408	0.001613001324	0.02446111371	1	0	0	0	9	0	0	0	5	0	0	0	1
BACH1	ENSG00000156273.16	7517.744664	-0.1961213	0.06305358166	-3.110391112	0.001868397683	0.02766460227	13	0	0	0	17	0	0	0	3	0	0	0	0
BAG1	ENSG00000107262.26	3419.706196	0.300938659	0.06367128096	4.726442667	2.28E-06	7.80E-05	11	0	0	0	29	2	2	0	2	0	0	0	0
BAK1	ENSG00000030110.14	13271.9197	-0.2404771912	0.07206437894	-3.336977225	0.0008469488828	0.01432173718	2	0	0	0	9	0	0	0	6	0	0	0	0
BAZ1A	ENSG00000198604.11	13734.72241	-0.5312219825	0.06087478344	-8.726470182	2.63E-18	3.66E-16	12	2	0	2	41	0	0	0	23	0	0	0	0
BBC3	ENSG00000105327.18	386.8766727	-0.5246525032	0.1330290016	-3.94389567	8.02E-05	0.001935098852	6	0	0	0	7	0	0	0	4	0	0	0	0
BBS7-DT	ENSG00000261501.1	195.8919018	-2.428614986	0.2016620419	-12.04299512	2.11E-33	5.08E-31	1	1	0	1	0	0	0	0	0	0	0	0	0
BCL11B	ENSG00000127152.18	2529.926899	-9.29764255	0.3072548012	-30.26036538	3.81E-201	1.01E-197	3	1	0	1	0	0	0	0	0	0	0	0	0
BCL2A1	ENSG00000140379.9	24.2489645	-2.067143836	0.5564994065	-3.714548141	0.0002035671152	0.004358569646	3	0	0	0	2	0	0	0	1	0	0	0	0
BCL2L2-PABPN1	ENSG00000258643.6	857.0076494	-0.5241835931	0.1477826664	-3.546989684	0.000389659849	0.007579584433	3	0	0	0	13	0	0	0	6	0	0	0	0
BDH1	ENSG00000161267.12	2590.359985	0.2620099081	0.06764794533	3.873139188	0.0001074424248	0.002478987851	18	0	0	0	36	0	0	0	11	0	0	0	0
BDKRB2	ENSG00000168398.7	195.8179671	-1.080304034	0.1789752494	-6.03605268	1.58E-09	9.62E-08	3	0	0	0	5	0	0	0	2	0	0	0	0
BDNF	ENSG00000176697.20	7225.683336	0.2079434814	0.05955366566	3.49169911	0.0004799585898	0.009035787322	17	0	0	0	13	0	0	0	12	0	0	0	0
BHLHE22	ENSG00000180828.3	12.90601557	-2.08851641	0.7157865982	-2.917792001	0.003525194135	0.04546660192	1	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE41	ENSG00000123095.6	356.0576933	-0.5436840419	0.1422621469	-3.821705589	0.0001325318583	0.002990948829	3	0	0	0	7	0	0	0	0	0	0	0	0
BID	ENSG00000015475.19	4330.092547	-0.4742310653	0.06500345761	-7.295474468	2.98E-13	2.81E-11	11	0	0	0	20	0	0	0	14	1	0	1	0
BIK	ENSG00000100290.3	167.1194246	-0.8279452366	0.2065189087	-4.009052934	6.10E-05	0.001529464853	1	0	0	0	5	0	0	0	1	0	0	0	0
BIRC2	ENSG00000110330.10	21450.85926	-0.5239045577	0.05214115089	-10.04781346	9.39E-24	1.61E-21	13	0	0	0	36	0	0	0	18	0	0	0	0
BIRC3	ENSG00000023445.16	24460.66481	-1.942363729	0.06508005405	-29.84576084	9.96E-196	2.37E-192	8	4	0	4	26	0	0	0	14	1	1	0	0
BLK	ENSG00000136573.15	823.2079754	-2.308180549	0.1198636273	-19.25672201	1.24E-82	1.09E-79	9	1	0	1	0	0	0	0	0	0	0	0	0
BLOC1S5-TXNDC5	ENSG00000259040.5	147.0544902	-10.62431903	1.491326736	-7.124071987	1.05E-12	9.56E-11	1	1	0	1	13	0	0	0	6	0	0	0	0
BMF	ENSG00000104081.14	392.2117567	-0.8410918143	0.1300419468	-6.467850067	9.94E-11	7.07E-09	10	0	0	0	14	0	0	0	3	0	0	0	0
BMP10	ENSG00000163217.2	41.00963753	-1.250398263	0.4223754763	-2.960395035	0.003072447991	0.0409585186	1	0	0	0	0	0	0	0	0	0	0	0	0
BMP4	ENSG00000125378.16	12755.55893	0.2860191528	0.06791466279	4.211449207	2.54E-05	0.0006951943349	9	0	0	0	18	0	0	0	0	0	0	0	0
BMP6	ENSG00000153162.9	69.30243076	-1.19412093	0.3428030609	-3.483402181	0.0004950840081	0.009259587705	1	0	0	0	2	0	0	0	0	0	0	0	0
BMPER	ENSG00000164619.10	918.9754765	-0.366218151	0.09213040389	-3.974997781	7.04E-05	0.001727500341	28	1	0	1	46	0	0	0	19	0	0	0	0
BOLA1	ENSG00000178096.9	468.3747741	-1.96779842	0.1996020458	-9.858608472	6.29E-23	1.04E-20	4	1	0	1	8	0	0	0	0	0	0	0	0
BOP1	ENSG00000261236.8	8133.827474	0.2586476416	0.06975166018	3.708121655	0.0002088023431	0.004462634639	6	0	0	0	28	2	2	0	7	0	0	0	0
BPNT2	ENSG00000104331.9	6766.236361	0.2988602599	0.07202377615	4.149466689	3.33E-05	0.000892504808	3	0	0	0	10	0	0	0	2	0	0	0	0
BRD3	ENSG00000169925.17	2269.118936	-1.7171003	0.1215190242	-14.13030026	2.47E-45	8.06E-43	6	1	0	1	20	0	0	0	2	0	0	0	0
BRD3OS	ENSG00000235106.10	971.4921905	0.3861724045	0.09765912007	3.954289207	7.68E-05	0.001861139186	7	0	0	0	20	0	0	0	1	0	0	0	0
BRINP1	ENSG00000078725.13	188.0094266	-2.113437348	0.2561781828	-8.249872511	1.59E-16	1.85E-14	3	1	0	1	0	0	0	0	0	0	0	0	0
BTBD6	ENSG00000184887.14	4259.447716	0.2136488781	0.0691489421	3.089691203	0.002003646936	0.02933876377	4	0	0	0	10	0	0	0	0	0	0	0	0
BTBD8	ENSG00000189195.15	531.6599584	0.4933804698	0.1153069439	4.278844388	1.88E-05	0.0005312238684	8	0	0	0	22	0	0	0	4	1	0	1	0
BTG3	ENSG00000154640.15	1999.475893	-0.2728955026	0.08036039575	-3.395895454	0.0006840448158	0.01195772615	6	0	0	0	15	0	0	0	3	0	0	0	0
BTN2A1	ENSG00000112763.17	5631.931489	-0.2034944371	0.06423548203	-3.167944424	0.001535208649	0.02347577567	7	0	0	0	18	0	0	0	7	0	0	0	0
BTN2A2	ENSG00000124508.17	3189.846079	-0.4540490109	0.07630609773	-5.950363398	2.68E-09	1.58E-07	16	0	0	0	39	0	0	0	25	0	0	0	0
BTN3A1	ENSG00000026950.17	6178.536582	-0.3557920305	0.06893801354	-5.161042686	2.46E-07	1.04E-05	11	0	0	0	34	0	0	0	21	0	0	0	0
BTN3A2	ENSG00000186470.14	5748.867653	-0.2511697242	0.07727222069	-3.250453035	0.00115221298	0.01866193118	19	0	0	0	44	0	0	0	18	1	0	1	1
C11orf65	ENSG00000166323.13	113.3357677	-1.385511752	0.2494652696	-5.553926422	2.79E-08	1.39E-06	8	0	0	0	10	0	0	0	11	0	0	0	0
C15orf48	ENSG00000166920.13	6793.665384	-0.896105476	0.06349619984	-14.11274184	3.17E-45	1.02E-42	4	1	0	1	12	0	0	0	5	0	0	0	0
C17orf49	ENSG00000258315.5	1971.742003	-0.2971363852	0.08973177374	-3.311384283	0.0009283562635	0.01546762371	9	0	0	0	23	0	0	0	12	0	0	0	0
C18orf63	ENSG00000206043.7	34.23956595	-6.689073136	1.180786178	-5.664931773	1.47E-08	7.68E-07	1	1	0	1	0	0	0	0	0	0	0	0	0
C1QTNF1	ENSG00000173918.15	236.1537365	-2.185614495	0.1972948435	-11.07790987	1.61E-28	3.38E-26	12	0	0	0	9	0	0	0	1	0	0	0	0
C1QTNF1-AS1	ENSG00000265096.3	31.14696195	-2.390942469	0.4884159884	-4.895299346	9.82E-07	3.60E-05	3	0	0	0	3	0	0	0	2	0	0	0	0
C1S	ENSG00000182326.17	148.3237731	-0.7175290017	0.2238779968	-3.205000098	0.001350624346	0.02119776865	23	0	0	0	23	0	0	0	13	0	0	0	0
C2	ENSG00000166278.16	937.0373307	-0.3915109514	0.1002372735	-3.905841985	9.39E-05	0.002217871136	24	1	0	1	44	0	0	0	12	1	0	1	0
C21orf140	ENSG00000222018.2	7.069021502	-6.23699696	1.51378138	-4.120143796	3.79E-05	0.001006132245	1	1	0	1	0	0	0	0	0	0	0	0	0
C2CD2	ENSG00000157617.17	3804.214643	-0.4608676291	0.09315906022	-4.947104748	7.53E-07	2.84E-05	8	0	0	0	23	1	1	0	16	0	0	0	0
C2CD4B	ENSG00000205502.4	134.0162553	-1.990074905	0.2810584447	-7.080644411	1.43E-12	1.28E-10	1	0	0	0	0	0	0	0	0	0	0	0	0
C2orf49	ENSG00000135974.10	2367.115725	-0.2559549329	0.07239908097	-3.535334005	0.0004072600292	0.007832353826	2	0	0	0	7	0	0	0	2	0	0	0	0
C3	ENSG00000125730.18	1120.083268	-1.968171259	0.1194056356	-16.4830684	4.86E-61	2.57E-58	28	1	0	1	60	0	0	0	7	0	0	0	0
C3orf52	ENSG00000114529.13	1890.472051	-0.2644527151	0.07647371592	-3.458086375	0.0005440269353	0.009948338943	7	0	0	0	16	0	0	0	4	0	0	0	0
C4BPB	ENSG00000123843.13	3713.173237	0.293195789	0.07317140367	4.006972319	6.15E-05	0.001539750508	8	0	0	0	19	0	0	0	4	0	0	0	1
C4orf46	ENSG00000205208.5	3243.451425	0.2443928358	0.0754944766	3.237228031	0.001206969249	0.01941671004	3	0	0	0	6	0	0	0	0	0	0	0	1
